N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"82,100",800,-0.97%,100,"4,901,191","5,969,783",53.38,"18,339,969",19.71,9.99,
2,SK하이닉스,"120,000","1,000",-0.83%,"5,000","873,603","728,002",48.45,"3,476,296",17.14,9.53,
3,NAVER,"442,500","9,500",+2.19%,100,"726,866","164,263",56.56,"742,999",4.51,15.22,
4,카카오,"149,000",500,-0.33%,100,"662,246","444,460",32.00,"2,240,224",216.89,2.70,
5,삼성전자우,"75,200",200,+0.27%,100,"618,811","822,887",75.81,"1,292,627",18.06,N/A,
6,LG화학,"857,000","1,000",+0.12%,"5,000","604,976","70,592",47.30,"187,730",37.31,2.93,
7,삼성바이오로직스,"912,000","9,000",+1.00%,"2,500","603,425","66,165",10.33,"178,613",227.43,N/A,
8,삼성SDI,"771,000","26,000",+3.49%,"5,000","530,175","68,765",43.51,"483,473",75.52,4.54,
9,현대차,"223,000","2,000",-0.89%,"5,000","476,480","213,668",28.71,"469,266",26.99,2.04,
10,셀트리온,"269,000",500,-0.19%,"1,000","370,995","137,917",20.43,"407,783",61.71,16.68,
11,기아,"85,700","1,300",-1.49%,"5,000","347,396","405,363",33.42,"1,412,141",15.39,5.05,
12,POSCO,"344,000","2,500",-0.72%,"5,000","299,923","87,187",54.16,"392,995",13.44,3.61,
13,삼성물산,"145,000",500,+0.35%,100,"270,986","186,887",15.06,"359,215",17.27,3.81,
14,현대모비스,"276,500","1,500",-0.54%,"5,000","262,103","94,793",35.64,"164,954",14.76,4.66,
15,LG전자,"158,000","2,000",-1.25%,"5,000","258,564","163,648",31.78,"556,764",14.72,13.23,
16,LG생활건강,"1,467,000","3,000",-0.20%,"5,000","229,119","15,618",45.39,"32,458",31.62,17.92,
17,SK텔레콤,"306,500",0,0.00%,500,"220,864","72,060",46.53,"123,635",14.12,6.44,
18,SK이노베이션,"238,500","5,000",-2.05%,"5,000","220,530","92,466",22.72,"1,227,669",-22.55,-13.58,
19,KB금융,"52,000",700,-1.33%,"5,000","216,220","415,808",67.24,"925,128",5.41,8.53,
20,신한지주,"38,700",350,-0.90%,"5,000","199,924","516,600",60.00,"1,067,695",5.43,8.20,
21,SK,"277,000",0,0.00%,200,"194,898","70,360",20.14,"118,565",32.26,1.11,
22,엔씨소프트,"817,000","5,000",+0.62%,500,"179,364","21,954",51.52,"54,508",37.93,20.83,
23,한국전력,"25,300",100,-0.39%,"5,000","162,417","641,964",15.25,"1,233,464",7.91,2.91,
24,HMM,"39,500",0,0.00%,"5,000","160,130","405,392",9.46,"3,378,007",37.44,8.93,
25,SK바이오사이언스,"208,000","2,500",-1.19%,500,"159,120","76,500",4.37,"4,081,772",161.62,13.25,
26,삼성생명,"77,400",500,+0.65%,500,"154,800","200,000",13.06,"390,085",7.29,3.53,
27,SK아이이테크놀로지,"216,500",500,-0.23%,"1,000","154,359","71,298",7.88,"260,401",N/A,11.00,
28,LG,"95,500",100,-0.10%,"5,000","150,222","157,301",33.18,"178,802",8.76,7.50,
29,삼성에스디에스,"187,500","1,000",-0.53%,500,"145,083","77,378",11.71,"131,838",23.05,6.71,
30,삼성전기,"193,500",500,+0.26%,"5,000","144,532","74,694",32.39,"678,366",21.29,10.92,
31,아모레퍼시픽,"232,000","4,500",+1.98%,500,"135,624","58,458",33.41,"274,830",162.35,0.78,
32,하나금융지주,"43,350",650,-1.48%,"5,000","130,155","300,242",67.65,"672,938",4.62,8.96,
33,포스코케미칼,"157,500","3,000",+1.94%,500,"122,005","77,463",7.88,"234,604",189.30,2.96,
34,넷마블,"136,000","1,000",-0.73%,100,"116,897","85,954",22.84,"202,573",37.00,6.35,
35,하이브,"298,500","3,000",+1.02%,500,"116,567","39,051",16.20,"161,754",106.19,12.52,
36,KT&G,"82,800",500,-0.60%,"5,000","113,678","137,292",37.20,"411,499",9.87,13.22,
37,S-Oil,"98,900",200,+0.20%,"2,500","111,344","112,583",77.89,"229,087",26.87,-13.07,
38,두산중공업,"21,650",0,0.00%,"5,000","110,938","512,416",5.52,"5,056,444",-12.16,-37.20,
39,대한항공,"30,650",550,-1.76%,"5,000","106,607","347,821",11.05,"1,915,729",13.10,-7.22,
40,삼성화재,"218,000",0,0.00%,500,"103,277","47,375",48.22,"76,880",10.86,4.96,
41,SK바이오팜,"127,500","4,000",+3.24%,500,"99,849","78,313",6.68,"488,854",-185.05,-135.18,
42,고려아연,"525,000","5,000",-0.94%,"5,000","99,068","18,870",20.31,"43,247",15.37,8.37,
43,한국조선해양,"130,000","2,500",-1.89%,"5,000","92,005","70,773",17.53,"212,385",-9.95,-7.42,
44,롯데케미칼,"268,000","1,500",-0.56%,"5,000","91,858","34,275",27.05,"100,318",12.38,1.22,
45,KT,"33,400",100,-0.30%,"5,000","87,211","261,112",44.14,"563,357",11.59,4.76,
46,한온시스템,"16,300",100,+0.62%,100,"87,009","533,800",17.85,"762,963",64.43,5.09,
47,LG디스플레이,"22,600",350,-1.53%,"5,000","80,866","357,816",18.25,"1,815,029",23.94,-0.79,
48,우리금융지주,"11,050",150,-1.34%,"5,000","79,811","722,268",27.84,"1,971,102",5.48,5.87,
49,기업은행,"10,350",100,-0.96%,"5,000","77,035","744,301",12.90,"911,862",5.07,6.44,
50,한화솔루션,"39,100",250,-0.64%,"5,000","74,790","191,278",16.88,"803,866",10.48,5.30,
